Supplier Name,Region,Country,Function,Service,Avg. Cost($),Rating,Average Delivery Time (days),Number of Escalations,Year,Resources,Delivery Frequency,Lead Time (days),Total Shipments,On-Time Delivery Rate (%),Customer Satisfaction Score,Return Rate (%),Contract Duration (months),Geographical Coverage,Technology Used
Genpact,APAC,Nauru,Consulting,Service Desk,100k,94,25,20,2014,7271,Weekly,11,6466,78,7,20,16,National,GPS Tracking
Capgemini,APAC,Mongolia,HR,Applications Development,100k,82,3,8,2016,9061,Weekly,3,1876,95,10,5,13,Local,RFID
IBM,APAC,Belize,IT & Infrastructure,Service Desk,100k,72,25,13,2014,5105,Daily,14,7405,82,9,18,19,Local,GPS Tracking
Capgemini,North America,Australia,IT & Infrastructure,Service Desk,100k,92,25,10,2017,7411,Daily,15,9514,83,10,17,12,Local,GPS Tracking
Genpact,APAC,Uruguay,Consulting,Service Desk,100k,100,21,12,2018,2985,Weekly,11,9393,84,10,16,20,International,GPS Tracking
Infosys,North America,Canada,HR,Mainframe services,150k,97,24,32,2017,2318,Weekly,20,7630,72,7,20,13,National,Blockchain
Genpact,North America,Bouvet Island (Bouvetoya),HR,Applications Development & Maintenance,150k,82,10,22,2014,6886,Daily,9,8070,84,10,16,33,Local,IoT Sensors
Infosys,Europe,Pitcairn Islands,HR,Service Desk,100k,77,17,11,2018,7369,Monthly,8,1132,87,10,13,15,International,GPS Tracking
Infosys,North America,Sudan,IT & Infrastructure,Mainframe services,150k,80,27,50,2014,7643,Weekly,18,2036,62,6,20,12,Local,Blockchain
Infosys,APAC,Nigeria,HR,Service Desk,100k,74,17,28,2018,1312,Monthly,13,7820,78,7,20,15,International,GPS Tracking
Infosys,North America,Grenada,IT & Infrastructure,Applications Development,100k,84,1,3,2016,2047,Daily,2,1842,99,10,1,22,Local,RFID
Genpact,North America,Wallis and Futuna,Consulting,Service Desk,100k,95,18,12,2018,6312,Monthly,14,2079,85,10,15,24,International,GPS Tracking
IBM,APAC,Spain,IT & Infrastructure,Applications Development & Maintenance,150k,78,10,28,2016,7801,Weekly,6,2853,81,9,19,17,International,IoT Sensors
Infosys,APAC,Burundi,IT & Infrastructure,Mainframe services,150k,95,27,27,2018,3584,Monthly,12,356,74,7,20,30,National,Blockchain
IBM,North America,Lesotho,HR,Applications Development,100k,95,3,2,2018,3079,Daily,1,3477,98,10,2,23,Local,RFID
Infosys,Europe,Faroe Islands,IT & Infrastructure,Mainframe services,150k,92,26,27,2018,2442,Monthly,17,5034,74,7,20,17,National,Blockchain
Infosys,Europe,Turks and Caicos Islands,Consulting,Service Desk,100k,97,18,16,2016,8605,Daily,13,3509,83,10,17,13,National,GPS Tracking
Genpact,APAC,Guinea-Bissau,HR,Applications Development,100k,99,3,8,2014,1885,Daily,1,6066,95,10,5,19,National,RFID
Capgemini,APAC,Moldova,IT & Infrastructure,Applications Development & Maintenance,150k,93,15,29,2014,9804,Weekly,7,2981,79,7,20,36,Local,IoT Sensors
Capgemini,Europe,Indonesia,HR,Applications Development,100k,80,2,2,2018,4256,Weekly,5,5436,98,10,2,15,Local,RFID
Capgemini,APAC,Mali,Consulting,Applications Development,100k,98,2,4,2016,2204,Weekly,2,7816,97,10,3,23,International,RFID
Capgemini,APAC,Svalbard & Jan Mayen Islands,Consulting,Service Desk,100k,81,17,16,2016,8499,Daily,11,3281,84,10,16,21,International,GPS Tracking
Infosys,North America,Haiti,IT & Infrastructure,Mainframe services,150k,73,25,24,2018,8513,Weekly,13,6952,76,7,20,13,Local,Blockchain
Genpact,Europe,Mali,HR,Mainframe services,150k,97,29,25,2016,2416,Daily,14,6845,74,7,20,32,International,Blockchain
Infosys,Europe,Solomon Islands,Consulting,Service Desk,100k,93,22,24,2016,5060,Daily,14,5462,77,7,20,16,National,GPS Tracking
Infosys,APAC,Belarus,Consulting,Applications Development & Maintenance,150k,93,19,10,2014,7974,Monthly,6,8801,86,10,14,25,National,IoT Sensors
Infosys,Europe,Iran,IT & Infrastructure,Service Desk,100k,92,22,25,2018,4571,Monthly,6,2274,77,7,20,15,National,GPS Tracking
IBM,APAC,Latvia,HR,Mainframe services,150k,84,21,20,2014,8452,Daily,20,7698,80,8,20,27,Local,Blockchain
Infosys,Europe,Guam,IT & Infrastructure,Service Desk,100k,82,25,24,2017,9698,Daily,10,635,76,7,20,23,National,GPS Tracking
Genpact,Europe,Hong Kong,IT & Infrastructure,Service Desk,100k,89,23,28,2017,1898,Weekly,14,8533,75,7,20,24,International,GPS Tracking
Infosys,North America,Timor-Leste,Consulting,Mainframe services,150k,75,26,31,2014,4354,Daily,11,2367,72,7,20,26,National,Blockchain
Genpact,Europe,Austria,IT & Infrastructure,Applications Development & Maintenance,150k,80,20,25,2017,5380,Monthly,5,8350,78,7,20,35,International,IoT Sensors
Capgemini,North America,Taiwan,HR,Service Desk,100k,86,16,21,2014,8703,Weekly,5,8814,82,9,18,17,International,GPS Tracking
Infosys,APAC,Korea,Consulting,Mainframe services,150k,72,25,45,2014,7400,Weekly,19,3029,66,6,20,33,National,Blockchain
Genpact,North America,Wallis and Futuna,IT & Infrastructure,Applications Development,100k,97,5,2,2016,9530,Daily,2,471,97,10,3,23,National,RFID
Capgemini,North America,Timor-Leste,HR,Service Desk,100k,90,17,25,2014,5776,Monthly,13,3197,80,8,20,17,Local,GPS Tracking
IBM,Europe,Saint Kitts and Nevis,HR,Applications Development,100k,95,6,7,2017,8965,Daily,5,9821,94,10,6,21,International,RFID
IBM,APAC,Sierra Leone,Consulting,Service Desk,100k,77,24,14,2018,7093,Weekly,9,4820,81,9,19,24,Local,GPS Tracking
Genpact,Europe,Canada,HR,Applications Development & Maintenance,150k,79,17,15,2016,3873,Weekly,7,2614,85,10,15,31,Local,IoT Sensors
Capgemini,North America,Finland,Consulting,Applications Development & Maintenance,150k,75,15,28,2016,1568,Daily,5,5292,79,7,20,16,National,IoT Sensors
IBM,APAC,Seychelles,IT & Infrastructure,Applications Development & Maintenance,150k,82,18,15,2018,3381,Weekly,8,7604,84,10,16,29,National,IoT Sensors
IBM,North America,French Southern Territories,Consulting,Applications Development & Maintenance,150k,100,18,26,2016,8243,Daily,10,5649,78,7,20,22,International,IoT Sensors
Infosys,North America,Chad,IT & Infrastructure,Applications Development,100k,82,1,3,2016,8306,Monthly,4,5955,99,10,1,22,Local,RFID
Genpact,North America,Brazil,IT & Infrastructure,Mainframe services,150k,70,30,26,2014,9821,Daily,19,7398,72,7,20,30,International,Blockchain
Infosys,Europe,Bolivia,Consulting,Applications Development,100k,82,4,8,2016,8006,Monthly,4,6156,94,10,6,17,National,RFID
Capgemini,Europe,French Polynesia,IT & Infrastructure,Mainframe services,150k,76,25,31,2018,7809,Daily,14,7349,73,7,20,21,National,Blockchain
Infosys,APAC,Botswana,IT & Infrastructure,Applications Development & Maintenance,150k,79,16,14,2018,9606,Monthly,8,5595,85,10,15,30,Local,IoT Sensors
Capgemini,APAC,Togo,HR,Service Desk,100k,84,21,30,2016,4264,Daily,5,3147,75,7,20,16,National,GPS Tracking
IBM,North America,Palestinian Territory,HR,Mainframe services,150k,93,20,46,2018,4678,Monthly,17,539,67,6,20,21,Local,Blockchain
Infosys,Europe,Malawi,HR,Applications Development & Maintenance,150k,98,20,30,2017,7834,Weekly,7,3038,75,7,20,27,National,IoT Sensors
IBM,Europe,Sierra Leone,Consulting,Applications Development & Maintenance,150k,88,14,25,2018,5225,Daily,5,7899,81,9,19,14,International,IoT Sensors
Genpact,Europe,Saint Vincent and the Grenadines,IT & Infrastructure,Applications Development,100k,74,10,1,2017,8553,Weekly,5,2319,95,10,5,16,National,RFID
IBM,APAC,Sudan,Consulting,Applications Development & Maintenance,150k,79,15,23,2014,9419,Daily,7,3275,82,9,18,32,International,IoT Sensors
IBM,Europe,New Zealand,Consulting,Applications Development & Maintenance,150k,78,12,27,2017,2570,Daily,9,8855,81,9,19,22,International,IoT Sensors
IBM,North America,Libyan Arab Jamahiriya,Consulting,Mainframe services,150k,80,22,36,2016,2678,Daily,10,3669,71,7,20,21,Local,Blockchain
Infosys,North America,Nigeria,Consulting,Applications Development & Maintenance,150k,99,19,26,2014,2909,Daily,9,2250,78,7,20,29,Local,IoT Sensors
IBM,APAC,Kazakhstan,HR,Service Desk,100k,79,20,14,2014,2943,Weekly,9,3743,83,10,17,19,Local,GPS Tracking
Genpact,APAC,Finland,Consulting,Applications Development & Maintenance,150k,92,14,14,2014,2273,Monthly,6,408,86,10,14,18,National,IoT Sensors
Infosys,North America,Algeria,IT & Infrastructure,Service Desk,100k,99,16,11,2017,1709,Daily,8,1185,87,10,13,24,National,GPS Tracking
Genpact,APAC,Wallis and Futuna,HR,Applications Development,100k,81,10,4,2014,2487,Daily,1,2484,93,10,7,21,International,RFID
Genpact,Europe,Paraguay,HR,Mainframe services,150k,72,25,25,2014,1229,Monthly,15,8764,76,7,20,28,Local,Blockchain
Infosys,APAC,Norfolk Island,HR,Applications Development & Maintenance,150k,97,18,10,2018,7004,Weekly,6,9756,86,10,14,35,Local,IoT Sensors
Capgemini,APAC,Belarus,HR,Service Desk,100k,77,17,21,2018,2848,Monthly,6,5249,82,9,18,18,Local,GPS Tracking
IBM,Europe,Mali,Consulting,Service Desk,100k,87,17,25,2014,2347,Daily,13,5475,80,8,20,24,National,GPS Tracking
IBM,Europe,Sudan,Consulting,Applications Development,100k,77,8,10,2018,5761,Weekly,3,7111,91,10,9,23,Local,RFID
Capgemini,Europe,Korea,IT & Infrastructure,Applications Development,100k,82,3,1,2018,9563,Weekly,3,1492,99,10,1,22,Local,RFID
Genpact,APAC,United Kingdom,Consulting,Applications Development & Maintenance,150k,76,19,13,2017,4281,Weekly,8,9847,85,10,15,35,National,IoT Sensors
IBM,Europe,Bouvet Island (Bouvetoya),Consulting,Applications Development,100k,81,8,5,2018,7626,Daily,4,8038,94,10,6,24,International,RFID
Capgemini,North America,Namibia,IT & Infrastructure,Mainframe services,150k,90,21,23,2016,1486,Daily,17,1731,79,7,20,20,International,Blockchain
IBM,APAC,Andorra,Consulting,Applications Development,100k,89,1,3,2014,2253,Daily,4,8618,99,10,1,18,National,RFID
IBM,Europe,Mongolia,Consulting,Service Desk,100k,95,25,25,2014,1517,Daily,9,7151,76,7,20,19,Local,GPS Tracking
Infosys,APAC,Ethiopia,IT & Infrastructure,Service Desk,100k,87,21,24,2017,3689,Weekly,10,8152,78,7,20,19,National,GPS Tracking
Infosys,Europe,Comoros,HR,Applications Development & Maintenance,150k,85,16,25,2018,8797,Weekly,10,9311,80,8,20,36,Local,IoT Sensors
IBM,North America,Palestinian Territory,Consulting,Applications Development,100k,71,8,10,2014,1739,Weekly,3,2200,91,10,9,18,National,RFID
IBM,North America,Antigua and Barbuda,IT & Infrastructure,Mainframe services,150k,83,20,44,2017,6855,Monthly,19,6849,68,6,20,32,National,Blockchain
IBM,Europe,Paraguay,IT & Infrastructure,Applications Development,100k,99,4,4,2014,5995,Monthly,2,1975,96,10,4,22,National,RFID
Capgemini,Europe,South Africa,HR,Applications Development & Maintenance,150k,98,15,11,2018,5368,Daily,9,434,88,10,12,26,International,IoT Sensors
Capgemini,North America,Montserrat,HR,Service Desk,100k,73,20,22,2018,2639,Monthly,5,3473,79,7,20,21,National,GPS Tracking
IBM,North America,Myanmar,Consulting,Service Desk,100k,76,20,15,2018,2234,Monthly,15,8879,83,10,17,21,Local,GPS Tracking
Genpact,Europe,Pitcairn Islands,HR,Mainframe services,150k,100,24,38,2014,2552,Weekly,10,9797,69,6,20,24,National,Blockchain
Genpact,North America,Malaysia,IT & Infrastructure,Mainframe services,150k,90,28,35,2017,9268,Daily,19,5013,69,6,20,25,National,Blockchain
Capgemini,Europe,Canada,HR,Mainframe services,150k,75,26,28,2014,9457,Daily,16,3156,73,7,20,31,International,Blockchain
Capgemini,Europe,Bahrain,HR,Service Desk,100k,90,22,18,2014,9556,Daily,15,3387,80,8,20,22,National,GPS Tracking
Capgemini,North America,Central African Republic,IT & Infrastructure,Service Desk,100k,90,17,19,2016,7757,Daily,8,4473,83,10,17,18,National,GPS Tracking
Genpact,APAC,Bouvet Island (Bouvetoya),IT & Infrastructure,Applications Development & Maintenance,150k,76,19,17,2014,5023,Weekly,10,5187,83,10,17,24,National,IoT Sensors
Genpact,APAC,Czech Republic,Consulting,Service Desk,100k,74,21,30,2014,5233,Monthly,11,4651,75,7,20,12,International,GPS Tracking
Infosys,North America,Central African Republic,HR,Applications Development & Maintenance,150k,79,17,10,2014,7668,Monthly,5,6054,87,10,13,13,International,IoT Sensors
Infosys,Europe,Nauru,HR,Applications Development,100k,96,4,2,2017,9133,Weekly,2,1578,97,10,3,21,Local,RFID
Genpact,North America,Switzerland,IT & Infrastructure,Applications Development,100k,74,10,7,2014,3869,Weekly,3,3607,92,10,8,24,National,RFID
IBM,Europe,Maldives,IT & Infrastructure,Service Desk,100k,80,24,11,2018,8780,Weekly,9,4136,83,10,17,19,National,GPS Tracking
Infosys,Europe,Palau,HR,Applications Development & Maintenance,150k,95,15,19,2014,4926,Weekly,8,4244,84,10,16,12,International,IoT Sensors
Genpact,North America,Morocco,Consulting,Service Desk,100k,70,20,13,2018,5186,Weekly,15,5029,84,10,16,20,Local,GPS Tracking
IBM,Europe,Kiribati,Consulting,Applications Development & Maintenance,150k,95,12,24,2014,5489,Weekly,6,1412,82,9,18,32,National,IoT Sensors
Genpact,Europe,Vanuatu,Consulting,Service Desk,100k,86,20,23,2014,6764,Monthly,11,6995,79,7,20,13,International,GPS Tracking
Genpact,Europe,Antarctica (the territory South of 60 deg S),Consulting,Mainframe services,150k,95,20,40,2016,1050,Weekly,10,6664,70,7,20,32,Local,Blockchain
Genpact,Europe,Guyana,HR,Mainframe services,150k,94,21,23,2016,7722,Weekly,19,5333,79,7,20,17,National,Blockchain
IBM,North America,Mayotte,IT & Infrastructure,Service Desk,100k,72,19,15,2018,7022,Monthly,7,3080,84,10,16,22,National,GPS Tracking
Genpact,APAC,Palestinian Territory,Consulting,Service Desk,100k,76,15,10,2017,3764,Monthly,8,915,88,10,12,20,National,GPS Tracking
Genpact,Europe,Saint Kitts and Nevis,IT & Infrastructure,Service Desk,100k,70,17,12,2018,8433,Monthly,9,8196,86,10,14,17,Local,GPS Tracking
Capgemini,North America,Equatorial Guinea,IT & Infrastructure,Applications Development & Maintenance,150k,83,13,18,2016,4531,Monthly,6,4736,85,10,15,21,International,IoT Sensors
IBM,North America,Liberia,IT & Infrastructure,Applications Development & Maintenance,150k,89,16,14,2018,5068,Weekly,6,6156,85,10,15,12,International,IoT Sensors
Capgemini,Europe,Botswana,IT & Infrastructure,Service Desk,100k,92,22,14,2018,7935,Daily,5,9884,82,9,18,17,National,GPS Tracking
Genpact,North America,Mali,Consulting,Applications Development,100k,89,1,1,2014,1087,Daily,5,4255,100,10,0,17,International,RFID
Infosys,Europe,Aruba,IT & Infrastructure,Service Desk,100k,78,25,21,2016,9253,Weekly,11,8174,78,7,20,14,National,GPS Tracking
Genpact,North America,Ghana,IT & Infrastructure,Service Desk,100k,80,20,26,2014,3095,Daily,6,8279,77,7,20,18,National,GPS Tracking
IBM,Europe,Cyprus,Consulting,Mainframe services,150k,83,24,39,2016,6169,Weekly,14,8149,69,6,20,36,Local,Blockchain
Genpact,APAC,Dominica,Consulting,Service Desk,100k,78,17,11,2016,8653,Daily,8,7250,87,10,13,15,Local,GPS Tracking
Capgemini,North America,Azerbaijan,IT & Infrastructure,Service Desk,100k,97,20,27,2016,3025,Daily,12,5827,77,7,20,19,Local,GPS Tracking
Genpact,Europe,Japan,IT & Infrastructure,Applications Development & Maintenance,150k,86,12,26,2016,7822,Weekly,6,1358,81,9,19,20,Local,IoT Sensors
Infosys,North America,Kyrgyz Republic,Consulting,Service Desk,100k,88,20,10,2014,6300,Monthly,6,2619,85,10,15,16,Local,GPS Tracking
Infosys,North America,South Georgia and the South Sandwich Islands,IT & Infrastructure,Applications Development,100k,90,8,5,2018,6323,Weekly,4,9425,94,10,6,21,Local,RFID
Infosys,Europe,Papua New Guinea,HR,Applications Development & Maintenance,150k,82,14,20,2014,7534,Daily,10,4280,83,10,17,13,Local,IoT Sensors
Capgemini,North America,Saint Martin,Consulting,Applications Development & Maintenance,150k,90,10,16,2016,2975,Weekly,5,4991,87,10,13,17,National,IoT Sensors
IBM,Europe,Saint Helena,IT & Infrastructure,Service Desk,100k,96,25,29,2017,9399,Monthly,9,3374,74,7,20,14,National,GPS Tracking
Capgemini,APAC,Egypt,Consulting,Service Desk,100k,95,19,28,2017,4053,Weekly,12,7212,77,7,20,21,International,GPS Tracking
Genpact,Europe,French Guiana,HR,Service Desk,100k,92,23,20,2016,9115,Daily,5,8738,79,7,20,19,International,GPS Tracking
Capgemini,North America,Ethiopia,IT & Infrastructure,Applications Development,100k,74,7,2,2017,5073,Weekly,4,8670,96,10,4,24,National,RFID
Infosys,Europe,Jordan,Consulting,Mainframe services,150k,83,28,22,2014,8612,Monthly,10,9413,75,7,20,13,National,Blockchain
Infosys,APAC,Finland,HR,Mainframe services,150k,91,21,44,2018,3941,Weekly,19,3085,68,6,20,28,National,Blockchain
Capgemini,Europe,French Southern Territories,Consulting,Applications Development,100k,89,5,6,2017,6592,Daily,4,3166,95,10,5,21,Local,RFID
Infosys,North America,Palestinian Territory,HR,Applications Development & Maintenance,150k,70,19,18,2014,7470,Daily,10,2011,82,9,18,33,Local,IoT Sensors
Capgemini,North America,Andorra,HR,Applications Development & Maintenance,150k,96,17,22,2017,7471,Monthly,8,5058,81,9,19,33,Local,IoT Sensors
Genpact,APAC,Iceland,IT & Infrastructure,Applications Development & Maintenance,150k,85,13,13,2016,4961,Daily,5,7239,88,10,12,12,International,IoT Sensors
Capgemini,APAC,Austria,IT & Infrastructure,Applications Development & Maintenance,150k,75,17,14,2016,8295,Daily,7,8047,85,10,15,27,National,IoT Sensors
Capgemini,APAC,Czech Republic,Consulting,Applications Development,100k,70,4,4,2014,8074,Weekly,5,6910,96,10,4,16,National,RFID
Capgemini,APAC,Peru,HR,Mainframe services,150k,71,26,35,2014,7914,Daily,17,9543,70,7,20,28,National,Blockchain
IBM,North America,Colombia,HR,Applications Development,100k,83,8,2,2014,3643,Weekly,4,4818,95,10,5,19,International,RFID
Genpact,Europe,Mongolia,HR,Applications Development & Maintenance,150k,80,17,17,2018,3148,Weekly,7,4906,84,10,16,28,International,IoT Sensors
Capgemini,APAC,Rwanda,HR,Service Desk,100k,76,25,21,2017,2412,Weekly,15,8011,78,7,20,24,Local,GPS Tracking
Capgemini,North America,Panama,Consulting,Applications Development & Maintenance,150k,77,19,25,2016,1770,Daily,6,397,79,7,20,15,National,IoT Sensors
Infosys,APAC,Iraq,Consulting,Mainframe services,150k,83,22,25,2014,4714,Weekly,20,2077,77,7,20,28,International,Blockchain
Infosys,Europe,Saint Barthelemy,Consulting,Applications Development & Maintenance,150k,98,15,21,2016,9444,Weekly,7,10000,83,10,17,36,International,IoT Sensors
Infosys,APAC,French Polynesia,HR,Applications Development,100k,89,8,8,2014,1687,Monthly,1,8411,92,10,8,24,Local,RFID
IBM,Europe,Luxembourg,Consulting,Applications Development & Maintenance,150k,94,13,21,2018,2626,Monthly,5,2627,84,10,16,17,International,IoT Sensors
Capgemini,North America,Honduras,IT & Infrastructure,Mainframe services,150k,77,21,47,2018,6592,Weekly,12,4798,67,6,20,18,International,Blockchain
Genpact,APAC,Saint Vincent and the Grenadines,HR,Applications Development & Maintenance,150k,83,15,23,2016,3260,Daily,7,7125,82,9,18,23,National,IoT Sensors
Capgemini,APAC,Samoa,IT & Infrastructure,Service Desk,100k,92,25,21,2014,2389,Weekly,13,5642,78,7,20,12,National,GPS Tracking
Infosys,Europe,Kyrgyz Republic,HR,Service Desk,100k,74,15,22,2014,9516,Daily,11,4945,82,9,18,24,National,GPS Tracking
Infosys,North America,Bangladesh,HR,Service Desk,100k,89,19,20,2016,7618,Monthly,13,7410,81,9,19,17,International,GPS Tracking
IBM,Europe,Korea,Consulting,Applications Development & Maintenance,150k,94,19,30,2016,5940,Monthly,9,1480,76,7,20,26,Local,IoT Sensors
Genpact,APAC,Korea,HR,Mainframe services,150k,87,28,37,2017,9541,Weekly,12,5682,68,6,20,21,International,Blockchain
Genpact,North America,Angola,HR,Applications Development & Maintenance,150k,83,18,28,2014,1982,Daily,5,6210,77,7,20,20,National,IoT Sensors
Capgemini,North America,North Macedonia,HR,Mainframe services,150k,93,30,50,2014,8424,Daily,10,5653,60,6,20,15,Local,Blockchain
Genpact,Europe,Sweden,Consulting,Applications Development & Maintenance,150k,86,14,28,2016,2724,Weekly,7,5471,79,7,20,33,International,IoT Sensors
Capgemini,North America,Kyrgyz Republic,IT & Infrastructure,Applications Development & Maintenance,150k,72,11,14,2014,7961,Weekly,8,2230,88,10,12,34,National,IoT Sensors
Capgemini,North America,Netherlands,HR,Applications Development & Maintenance,150k,85,15,26,2018,8210,Weekly,5,8120,80,8,20,24,International,IoT Sensors
Capgemini,APAC,United Kingdom,HR,Service Desk,100k,86,23,14,2014,4483,Daily,7,7561,82,9,18,19,National,GPS Tracking
Capgemini,APAC,Comoros,IT & Infrastructure,Applications Development,100k,81,9,6,2017,1659,Monthly,2,8665,93,10,7,13,Local,RFID
Capgemini,APAC,Myanmar,IT & Infrastructure,Applications Development,100k,74,6,5,2018,1797,Weekly,3,5099,95,10,5,16,National,RFID
IBM,APAC,Gambia,IT & Infrastructure,Applications Development & Maintenance,150k,83,17,10,2018,6074,Daily,10,9369,87,10,13,15,National,IoT Sensors
Genpact,Europe,United Arab Emirates,HR,Mainframe services,150k,84,29,24,2018,8357,Weekly,17,2540,74,7,20,36,International,Blockchain
Capgemini,APAC,Rwanda,Consulting,Mainframe services,150k,80,30,39,2014,8259,Daily,19,4644,66,6,20,25,International,Blockchain
Infosys,Europe,Oman,HR,Applications Development,100k,72,10,5,2016,9877,Daily,1,9551,93,10,7,20,Local,RFID
Genpact,APAC,Cyprus,Consulting,Applications Development & Maintenance,150k,95,10,13,2016,5018,Weekly,9,9595,89,10,11,33,National,IoT Sensors
Infosys,North America,Czech Republic,IT & Infrastructure,Applications Development,100k,80,6,7,2018,3957,Monthly,5,6898,94,10,6,21,Local,RFID
Genpact,North America,Cote d'Ivoire,IT & Infrastructure,Mainframe services,150k,75,21,23,2017,2468,Weekly,14,2626,79,7,20,15,National,Blockchain
Genpact,APAC,France,HR,Service Desk,100k,71,15,29,2017,7388,Monthly,7,1717,79,7,20,17,National,GPS Tracking
Infosys,APAC,Guadeloupe,IT & Infrastructure,Applications Development & Maintenance,150k,94,14,22,2016,9076,Weekly,7,8433,82,9,18,15,International,IoT Sensors
Capgemini,APAC,Saint Vincent and the Grenadines,Consulting,Service Desk,100k,70,15,20,2018,4829,Daily,9,405,83,10,17,19,National,GPS Tracking
Capgemini,North America,Mali,IT & Infrastructure,Applications Development,100k,97,3,5,2016,3332,Daily,5,6216,97,10,3,21,International,RFID
Infosys,APAC,Jersey,Consulting,Applications Development & Maintenance,150k,100,16,27,2017,3742,Daily,9,108,79,7,20,26,Local,IoT Sensors
Genpact,Europe,Trinidad and Tobago,HR,Service Desk,100k,79,19,22,2014,3644,Weekly,14,8850,80,8,20,17,International,GPS Tracking
IBM,North America,Djibouti,IT & Infrastructure,Applications Development,100k,89,7,2,2017,6613,Weekly,1,4382,96,10,4,14,International,RFID
Genpact,North America,Sri Lanka,HR,Service Desk,100k,80,25,20,2014,3190,Weekly,8,133,78,7,20,17,International,GPS Tracking
Capgemini,North America,Greece,HR,Service Desk,100k,72,25,15,2014,9825,Daily,5,607,81,9,19,18,International,GPS Tracking
IBM,North America,United States Minor Outlying Islands,IT & Infrastructure,Service Desk,100k,96,20,22,2014,3044,Monthly,6,7680,79,7,20,21,National,GPS Tracking
IBM,Europe,Bahrain,HR,Applications Development & Maintenance,150k,81,13,10,2016,2474,Weekly,5,5067,89,10,11,36,International,IoT Sensors
Capgemini,Europe,Panama,HR,Applications Development & Maintenance,150k,89,15,11,2016,1116,Daily,8,3312,88,10,12,20,International,IoT Sensors
Genpact,Europe,Tunisia,IT & Infrastructure,Service Desk,100k,91,24,26,2016,2070,Daily,9,9736,75,7,20,19,Local,GPS Tracking
IBM,APAC,Lithuania,HR,Applications Development,100k,70,10,4,2017,8437,Daily,3,132,93,10,7,20,National,RFID
Capgemini,North America,Uzbekistan,Consulting,Applications Development,100k,86,7,5,2014,4678,Weekly,4,869,95,10,5,13,National,RFID
Genpact,North America,Dominica,IT & Infrastructure,Service Desk,100k,98,20,10,2014,4696,Monthly,12,7043,85,10,15,18,Local,GPS Tracking
Infosys,APAC,Denmark,Consulting,Applications Development & Maintenance,150k,83,15,19,2014,6477,Daily,6,4202,84,10,16,14,Local,IoT Sensors
Genpact,APAC,Gibraltar,HR,Applications Development,100k,89,6,1,2018,2567,Weekly,2,7414,97,10,3,17,International,RFID
Infosys,APAC,Dominica,IT & Infrastructure,Applications Development,100k,99,1,7,2018,1897,Daily,1,5039,97,10,3,17,International,RFID
Infosys,North America,Azerbaijan,Consulting,Service Desk,100k,82,25,11,2014,7735,Daily,6,3919,83,10,17,20,International,GPS Tracking
Infosys,North America,Mauritania,HR,Applications Development,100k,100,8,7,2014,8439,Weekly,4,8574,93,10,7,21,National,RFID
Infosys,Europe,Turkmenistan,IT & Infrastructure,Applications Development & Maintenance,150k,98,10,29,2016,9337,Daily,5,4298,81,9,19,34,National,IoT Sensors
Genpact,APAC,Palestinian Territory,IT & Infrastructure,Service Desk,100k,74,22,15,2017,8140,Weekly,14,8507,82,9,18,15,International,GPS Tracking
Genpact,North America,Tunisia,Consulting,Mainframe services,150k,89,28,44,2017,5768,Weekly,19,6142,64,6,20,16,Local,Blockchain
Capgemini,North America,Angola,IT & Infrastructure,Applications Development & Maintenance,150k,76,18,27,2016,2120,Daily,6,5695,78,7,20,13,Local,IoT Sensors
IBM,Europe,Congo,Consulting,Service Desk,100k,83,24,20,2017,3658,Monthly,12,1817,78,7,20,21,National,GPS Tracking
Genpact,North America,Cocos (Keeling) Islands,HR,Applications Development,100k,76,1,4,2016,8876,Weekly,2,5531,98,10,2,23,International,RFID
Infosys,APAC,Nigeria,Consulting,Service Desk,100k,70,17,10,2014,3333,Daily,11,4860,87,10,13,17,National,GPS Tracking
Genpact,APAC,Andorra,Consulting,Applications Development & Maintenance,150k,75,15,11,2016,5292,Monthly,9,2955,88,10,12,12,National,IoT Sensors
Infosys,APAC,Burundi,HR,Applications Development & Maintenance,150k,74,10,15,2018,2818,Daily,6,5644,88,10,12,20,Local,IoT Sensors
Genpact,Europe,Gibraltar,HR,Mainframe services,150k,98,25,45,2018,2071,Weekly,13,2041,66,6,20,23,Local,Blockchain
IBM,North America,Macao,HR,Applications Development & Maintenance,150k,83,18,22,2016,1756,Daily,6,9722,80,8,20,34,Local,IoT Sensors
IBM,APAC,Micronesia,HR,Mainframe services,150k,100,23,21,2018,4428,Daily,15,1433,79,7,20,32,National,Blockchain
Capgemini,Europe,Eritrea,Consulting,Applications Development,100k,75,7,9,2017,7125,Daily,5,8709,93,10,7,17,International,RFID
Capgemini,Europe,Belgium,HR,Service Desk,100k,90,22,18,2014,4394,Monthly,12,3696,80,8,20,21,Local,GPS Tracking
Capgemini,Europe,Portugal,IT & Infrastructure,Service Desk,100k,99,18,19,2017,5170,Daily,11,9120,82,9,18,18,Local,GPS Tracking
Genpact,Europe,Brazil,IT & Infrastructure,Applications Development & Maintenance,150k,84,17,26,2017,7981,Daily,7,7491,79,7,20,23,National,IoT Sensors
Capgemini,APAC,Tokelau,IT & Infrastructure,Service Desk,100k,84,22,20,2016,5351,Weekly,10,1343,79,7,20,16,National,GPS Tracking
